session,pipeline,resp_mae,resp_rmse,resp_bias,resp_r,card_mae,card_rmse,card_bias,card_r,k_resp,k_card
S5N1,per_session_k,1.2832161028508242,2.161432057116445,0.1979664952462826,0.18666330232236703,4.025722598572289,5.788928875989243,-0.08065704004585392,-0.04817190226035945,0.9924389562337477,1.66183918287423
S5N1,loso_k,1.358388026038081,2.226757573090601,0.5719395950297137,0.18666330232236716,4.070936586851007,5.821981743847364,0.5778283318456272,-0.04817190226035971,0.9685096340349879,1.643855875835666
S5N2,no_k,1.1235808360541037,1.9328727875309806,0.2078164138331616,0.01996944516927384,38.82026870769476,39.026207268576684,38.82026870769476,0.019381930976179875,,
S5N2,per_session_k,1.1194824354927366,1.9256988279862455,0.12731911065354654,0.01996944516927384,2.5376435619424815,3.630644193353087,-0.3580674887798492,0.01938193097617991,1.0053671638295043,1.6425703898380828
S5N2,loso_k,1.2693853735561793,2.045608471813131,0.6980859836591116,0.019969445169273615,2.5379346623392163,3.635283605929872,-0.4057466812937235,0.019381930976179778,0.9685096340349879,1.643855875835666
S6N1,no_k,1.2122349464387796,1.7956462622331604,0.7224938567582624,0.29423234663416586,29.820956127257375,30.929529774411797,29.6492105985671,-0.44006484041331817,,
S6N1,per_session_k,1.0724943283293826,1.653064953010078,0.16021570269967222,0.2942323466341659,5.183341465687873,7.247187494447517,-0.8367892630473908,-0.4400648404133181,1.0399912735582673,1.4673125720075524
S6N1,loso_k,1.5000688396188049,2.033156673727513,1.1979269776475197,0.2942323466341661,8.49082721231552,10.775455241093043,-8.34005259850514,-0.4400648404133183,0.9685096340349879,1.6580097620198075
S6N2,no_k,1.1967514276818774,1.885765443345835,0.7532197323882082,0.4438385237317934,28.65943599977389,29.73005624263582,28.63281082129085,0.0063285591255385016,,
S6N2,per_session_k,1.1252914560562122,1.762207288088086,0.32631009269518035,0.44383852373179333,4.129990043511242,6.441701127965654,-1.4427082224491319,0.006328559125538578,1.0298792479491226,1.4509286890572177
S6N2,loso_k,1.4302316636789743,2.120078993888629,1.231658506601294,0.4438385237317934,9.94824647142238,11.389220268030599,-9.77296881493011,0.006328559125538591,0.9685096340349879,1.6580097620198075
