timeMS,CH,CLE,CRE,aX,aY,aZ
5572,-0.9167,1.8318,2.1857,0.00,-0.12,0.47
5581,-0.9122,1.8317,2.1861,0.00,-0.12,0.47
5590,-0.9145,1.8329,2.1868,0.00,-0.12,0.47
5599,-0.9146,1.8314,2.1876,0.00,-0.12,0.47
5608,-0.9141,1.8326,2.1846,0.00,-0.12,0.47
5617,-0.9134,1.8316,2.1845,0.00,-0.12,0.47
5626,-0.9124,1.8325,2.1857,0.00,-0.12,0.47
5635,-0.9135,1.8336,2.1849,0.00,-0.12,0.47
5644,-0.9130,1.8331,2.1838,0.00,-0.12,0.47
5653,-0.9132,1.8322,2.1856,0.00,-0.12,0.47
5662,-0.9148,1.8316,2.1870,0.00,-0.12,0.47
5671,-0.9130,1.8349,2.1862,0.00,-0.12,0.47
5680,-0.9140,1.8341,2.1851,0.00,-0.12,0.47
5689,-0.9137,1.8323,2.1869,0.00,-0.12,0.47
5698,-0.9161,1.8314,2.1861,0.00,-0.12,0.47
5707,-0.9147,1.8325,2.1848,0.00,-0.12,0.47
5716,-0.9146,1.8318,2.1846,0.00,-0.12,0.47
5725,-0.9154,1.8332,2.1865,0.00,-0.12,0.47
5734,-0.9142,1.8308,2.1855,0.00,-0.12,0.47
5743,-0.9122,1.8327,2.1843,0.00,-0.12,0.47
5752,-0.9120,1.8320,2.1871,0.00,-0.12,0.47
5761,-0.9130,1.8335,2.1876,0.00,-0.12,0.47
5770,-0.9141,1.8327,2.1875,0.00,-0.12,0.47
5779,-0.9128,1.8314,2.1867,0.00,-0.12,0.47
5788,-0.9143,1.8333,2.1841,0.00,-0.12,0.47
5797,-0.9136,1.8337,2.1844,0.00,-0.12,0.47
5806,-0.9147,1.8310,2.1851,0.00,-0.12,0.47
5815,-0.9148,1.8324,2.1855,0.00,-0.12,0.47
5824,-0.9142,1.8337,2.1859,0.00,-0.12,0.47
5833,-0.9147,1.8322,2.1871,0.00,-0.12,0.47
5842,-0.9143,1.8324,2.1857,0.00,-0.12,0.47
5851,-0.9153,1.8319,2.1845,0.00,-0.12,0.47
5860,-0.9134,1.8317,2.1835,0.00,-0.12,0.47
5869,-0.9138,1.8328,2.1856,0.00,-0.12,0.47
5878,-0.9121,1.8316,2.1865,0.00,-0.12,0.47
5887,-0.9157,1.8312,2.1855,0.00,-0.12,0.47
5896,-0.9155,1.8322,2.1850,0.00,-0.12,0.47
5905,-0.9113,1.8349,2.1855,0.00,-0.12,0.47
5914,-0.9139,1.8342,2.1851,0.00,-0.12,0.47
5923,-0.9149,1.8333,2.1855,0.00,-0.12,0.47
5932,-0.9133,1.8331,2.1864,0.00,-0.12,0.47
5941,-0.9144,1.8339,2.1844,0.00,-0.12,0.47
5950,-0.9125,1.8324,2.1865,0.00,-0.12,0.47
